Zone,Ward Name
Bommanahalli,Uttarahalli
Bommanahalli, Subramanyapura
Bommanahalli,Vasanthpura
Bommanahalli,Yelachenahalli
Bommanahalli,Konanakunte
Bommanahalli,RBI layout
Bommanahalli,Chunchaghatta
Bommanahalli,Anjanapura
Bommanahalli,Gottigere
Bommanahalli,Kalena Agrahara
Bommanahalli,Begur
Bommanahalli,Naganathapura
Bommanahalli,Ibluru
Bommanahalli,Agara
Bommanahalli, Mangammanapalya
Bommanahalli,HSR-Singasandra
Bommanahalli,Rupenaagrahara
Bommanahalli,Hongasandra
Bommanahalli,Bommanahalli
Bommanahalli, Devarachikkanahalli
Bommanahalli,Bilekhalli
Bommanahalli,Arakere
Bommanahalli,Hulimavu
Bommanahalli,Vinayakanagar
Bommanahalli,Puttenahalli- Sarakki Lake
Bommanahalli,Jaraganahalli
Bommanahalli,Kudlu
Dasarahalli, Kammagondanahalli
Dasarahalli,Shettihalli
Dasarahalli,Bagalakunte
Dasarahalli,Defence Colony
Dasarahalli,Mallasandra
Dasarahalli,T Dasarahalli
Dasarahalli,Chokkasandra
Dasarahalli, Nelagadderanahalli
Dasarahalli,Rajagopal Nagar
Dasarahalli,Rajeshwari Nagar
Dasarahalli,Hegganahalli
Dasarahalli,Sunkadakatte
East,Radhakrishna Temple Ward
East,Sanjaya Nagar
East,Vishwanath Nagenahalli
East,Manorayanapalya
East,Hebbala
East,Chamundi Nagara
East,Ganga Nagar
East, Jayachamarajendra Nagar
East,Kaval Bairasandra
East,Kushal Nagar
East,Muneshwara Nagar
East,Devara Jeevanahalli
East,S K Garden
East,Sagayarapuram
East,Pulikeshinagar
East,Hennur
East,Nagavara
East, Kadugondanahalli
East,Venkateshpura
East,Kacharkanahalli
East,HRBR Layout
East,Banasavadi
East,Kammanahalli
East,Lingarajapura
East,Maruthi Seva Nagar
East,C V Raman Nagar
East,Lal Bahadur Nagar
East,New Bayappanahalli
East,Hoysala Nagar
East,Old Thippasandra
East,New Thippasandra
East, Jalakanteshwara Nagara
East,Jeevanbhima Nagar
East,Konena Agrahara
East,Ramaswamy Palya
East,Jayamahal
East,Vasanth Nagar
East,Sampangiram Nagar
East,Bharathi Nagar
East,Ulsoor
East,Domlur
East,Jogupalya
East,Agaram
East,Shantala Nagar
East,Shanthi Nagar
East,Neelasandra
East,Vannarapete
Mahadevapura,Horamavu
Mahadevapura,Babusab Palya
Mahadevapura,Kalkere
Mahadevapura,Ramamurthy Nagara
Mahadevapura,Vijinapura
Mahadevapura,K R Puram
Mahadevapura,Medahalli
Mahadevapura,Basavanapura
Mahadevapura,Devasandra
Mahadevapura,Mahadevapura
Mahadevapura,A Narayanapura
Mahadevapura,Vijnana Nagar
Mahadevapura,HAL Airport
Mahadevapura,Kadugodi
Mahadevapura,Belathur
Mahadevapura,Hudi
Mahadevapura,Garudachar Playa
Mahadevapura,DoddaNekkundi
Mahadevapura,AECS Layout
Mahadevapura,Whitefield
Mahadevapura,Hagadur
Mahadevapura,Varthuru
Mahadevapura,Munnekollala
Mahadevapura,Marathahalli
Mahadevapura,Bellanduru
Mahadevapura,Doddakanahalli
RRNagar,Dodda Bidarakallu
RRNagar, Vidyamanyanagar
RRNagar,Herohalli
RRNagar, Doddagollarahatti
RRNagar,Ullal
RRNagar,Kengeri
RRNagar,Bande Mutt
RRNagar,Hemmigepura
RRNagar,Chatrapati Shivaji
RRNagar,Chanakya
RRNagar,J P Park
RRNagar,Kanneshwara
RRNagar,Veeramadakari
RRNagar,Peenya
RRNagar,Lakshmi Devi Nagar
RRNagar,Ranadheera Kanteerava
RRNagar,Veera Sindhura Lakshamana
RRNagar,Vijayanagara Krishnadevaraya
RRNagar,Sir M Vishweshwaraiah
RRNagar,Nalvadi Krishnaraja Wadior Park
RRNagar,Jnana Bharathi
RRNagar,Rajarajeshwari Nagar
South,Kempapura Agrahara
South,Vijayanagar
South,Hosahalli
South,Hampi Nagar
South,Bapuji Nagar
South,Attiguppe
South,Gali Anjenaya Temple ward
South,Veerabhadranagar
South,Avalahalli
South,Sudham Nagara
South,Dharmaraya Swamy Temple Ward
South,Sunkenahalli
South,Vishveshwara Puram
South,Ashoka Pillar
South,Someshwara Nagar
South,Hombegowda Nagara
South,Ejipura
South,Koramangala
South,Adugodi
South,Lakkasandra
South,Suddagunte Palya
South,Madivala
South,Jakkasandra
South,BTM Layout
South,N S Palya
South,Gurappanapalya
South,Tilak Nagar
South,Byrasandra
South,Shakambari Nagar
South,J P Nagar
South,Sarakki
South,Yediyur
South,Umamaheshwari Ward
South,Ganesh Mandir ward
South,Banashankari Temple ward
South,Kumaraswamy Layout
South,Vikram Nagar
South,Padmanabha Nagar
South,Kamakya Nagar
South,Deen Dayalu Ward
South,Hosakerehalli
South,Basavanagudi
South,Hanumanth Nagar
South,Srinivasa Nagar
South,Srinagar
South,Girinagar
South,Katriguppe
South,Vidyapeeta ward
West,Marappana Palya
West,Nagapura
West, Mahalakshimpuram
West,Nandini Layout
West,Jai Maruthinagara
West,Puneet Rajkumar
West,Shankar Matt
West,Shakthi Ganapathi Nagar
West,Vrisabhavathi Nagar
West,Mattikere
West,Aramane Nagara
West,Malleswaram
West,Subramanya Nagar
West,Gayithri Nagar
West,Kadu Malleshwara
West,Rajamahal Guttahalli
West,Dattatreya Temple
West,Gandhinagar
West,Subhash Nagar
West,Okalipuram
West,Binnipete
West,Cottonpete
West,Chickpete
West,Dayananda Nagar
West,Prakash Nagar
West,Rajaji Nagar
West,Sriramamandir
West,Shivanagara
West,Basaveshwara Nagar
West,Kamakshipalya
West,Dr. Raj Kumar Ward
West,Agrahara Dasarahalli
West,Govindaraja Nagar
West,Kaveripura
West,Marenahalli
West,Maruthi Mandir ward
West,Mudalapalya
West,Nagarabhavi
West,Chandra Layout
West,Nayandahalli
West,Chamrajapet
West,Chalavadipalya
West,Jagajivanaram Nagar
West,Padarayanapura
West,Devaraj Urs Nagar
West,Azad Nagar
Yelahanka,Kempegowda Ward
Yelahanka,Chowdeswari Ward
Yelahanka,Someshwara Ward
Yelahanka,Atturu Layout
Yelahanka,Yelahanka Satellite Town
Yelahanka,Kogilu
Yelahanka,Thanisandra
Yelahanka,Jakkuru
Yelahanka,Amrutahalli
Yelahanka,Kempapura
Yelahanka, Byatarayanapura
Yelahanka,Kodigehalli
Yelahanka,Dodda Bommasandra
Yelahanka,Vidyaranyapura
Yelahanka,Kuvempunagar
